# File Name: BWS_QS6_METHYLATION_001_010125_AB_ICR1,,,,,,,,,,,,,,,,,,,,
# Comment: ,,,,,,,,,,,,,,,,,,,,
# Operator: Admin,,,,,,,,,,,,,,,,,,,,
# Barcode: ,,,,,,,,,,,,,,,,,,,,
# Instrument Type:,,,,,,,,,,,,,,,,,,,,
# Block Type: 384-Well Block,,,,,,,,,,,,,,,,,,,,
# Instrument Name,,,,,,,,,,,,,,,,,,,,
# Instrument Serial Number:,,,,,,,,,,,,,,,,,,,,
# Heated Cover Serial Number:,,,,,,,,,,,,,,,,,,,,
# Block Serial Number:,,,,,,,,,,,,,,,,,,,,
# Run Start Date/Time:,,,,,,,,,,,,,,,,,,,,
# Run End Date/Time:,,,,,,,,,,,,,,,,,,,,
# Run Duration:,,,,,,,,,,,,,,,,,,,,
# Sample Volume: 10.0,,,,,,,,,,,,,,,,,,,,
# Cover Temperature: 105.0,,,,,,,,,,,,,,,,,,,,
# Passive Reference: ROX,,,,,,,,,,,,,,,,,,,,
# PCR Stage/Step Number: Stage 2 Step 2,,,,,,,,,,,,,,,,,,,,
# Quantification Cycle Method: CT,,,,,,,,,,,,,,,,,,,,
# Analysis Date/Time:,,,,,,,,,,,,,,,,,,,,
# Software Name and Version:,,,,,,,,,,,,,,,,,,,,
# Plugin Name and Version:,,,,,,,,,,,,,,,,,,,,
# Exported On:,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,Curve Quality,Result Quality Issues,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End
10,A10,FALSE,BWR-0001,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.180802701,,,27.16438725,0.538201148,27.4161569,0.241249163,FALSE,0.1,TRUE,3,23
11,A11,FALSE,BWR-0001,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.18364261,,,27.43879351,0.561625464,27.4161569,0.241249163,FALSE,0.1,TRUE,3,23
12,A12,FALSE,BWR-0001,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.180364495,,,27.64528993,0.581620568,27.4161569,0.241249163,FALSE,0.1,TRUE,3,23
57,C9,FALSE,BWR-0002,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.175645586,,,26.00011355,0.534002054,26.11523685,0.153669685,FALSE,0.1,TRUE,3,21
59,C11,FALSE,BWR-0002,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.187971121,,,26.05586114,0.569957522,26.11523685,0.153669685,FALSE,0.1,TRUE,3,21
60,C12,FALSE,BWR-0002,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.186007032,,,26.28973584,0.58105746,26.11523685,0.153669685,FALSE,0.1,TRUE,3,23
105,E9,FALSE,BWR-0003,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.191165711,,,27.31372621,0.606896667,27.58435682,0.240340937,FALSE,0.1,TRUE,3,21
107,E11,FALSE,BWR-0003,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.185171293,,,27.77289873,0.585203063,27.58435682,0.240340937,FALSE,0.1,TRUE,3,22
108,E12,FALSE,BWR-0003,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.190102663,,,27.66644553,0.594816712,27.58435682,0.240340937,FALSE,0.1,TRUE,3,24
153,G9,FALSE,BWR-0004,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,0.962981745,,,29.72879556,0.610712673,29.89688996,0.157162239,FALSE,0.1,TRUE,3,25
155,G11,FALSE,BWR-0004,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,0.981888304,,,29.92170733,0.569417218,29.89688996,0.157162239,FALSE,0.1,TRUE,3,25
156,G12,FALSE,BWR-0004,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,0.978363037,,,30.040167,0.527956668,29.89688996,0.157162239,FALSE,0.1,TRUE,3,25
6,A6,FALSE,Control A,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.154421358,,,29.56509349,0.676843867,29.441478,0.177155462,FALSE,0.1,TRUE,3,25
7,A7,FALSE,Control A,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.176187097,,,29.23851975,0.620131092,29.441478,0.177155462,FALSE,0.1,TRUE,3,25
8,A8,FALSE,Control A,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.145951032,,,29.52082078,0.620846345,29.441478,0.177155462,FALSE,0.1,TRUE,3,25
54,C6,FALSE,Control B,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.146940447,,,28.45793188,0.640600913,28.72918191,0.246881644,FALSE,0.1,TRUE,3,24
55,C7,FALSE,Control B,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.139643328,,,28.78885884,0.617634903,28.72918191,0.246881644,FALSE,0.1,TRUE,3,24
56,C8,FALSE,Control B,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.152372618,,,28.94075502,0.638601393,28.72918191,0.246881644,FALSE,0.1,TRUE,3,24
101,E5,FALSE,Control C,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.121168853,,,28.93416594,0.676041703,28.9697596,0.048714602,FALSE,0.1,TRUE,3,24
102,E6,FALSE,Control C,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.137196302,,,28.94983466,0.634043277,28.9697596,0.048714602,FALSE,0.1,TRUE,3,25
104,E8,FALSE,Control C,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.135081531,,,29.02527819,0.622563869,28.9697596,0.048714602,FALSE,0.1,TRUE,3,24
150,G6,FALSE,Control D,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.114495178,,,28.88796402,0.655224239,29.06266563,0.217365535,FALSE,0.1,TRUE,3,24
151,G7,FALSE,Control D,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.126193151,,,28.99394822,0.63958055,29.06266563,0.217365535,FALSE,0.1,TRUE,3,25
152,G8,FALSE,Control D,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.129477268,,,29.30608465,0.667886664,29.06266563,0.217365535,FALSE,0.1,TRUE,3,25
