# File Name: RSS_QS6_METHYLATION_001_010125_AB_GRB.eds,,,,,,,,,,,,,,,,,,,,
# Comment: ,,,,,,,,,,,,,,,,,,,,
# Operator: Admin,,,,,,,,,,,,,,,,,,,,
# Barcode: ,,,,,,,,,,,,,,,,,,,,
# Instrument Type:,,,,,,,,,,,,,,,,,,,,
# Block Type: 384-Well Block,,,,,,,,,,,,,,,,,,,,
# Instrument Name:,,,,,,,,,,,,,,,,,,,,
# Instrument Serial Number:,,,,,,,,,,,,,,,,,,,,
# Heated Cover Serial Number:,,,,,,,,,,,,,,,,,,,,
# Block Serial Number:,,,,,,,,,,,,,,,,,,,,
# Run Start Date/Time:,,,,,,,,,,,,,,,,,,,,
# Run End Date/Time:,,,,,,,,,,,,,,,,,,,,
# Run Duration:,,,,,,,,,,,,,,,,,,,,
# Sample Volume: 10.0,,,,,,,,,,,,,,,,,,,,
# Cover Temperature: 105.0,,,,,,,,,,,,,,,,,,,,
# Passive Reference: ROX,,,,,,,,,,,,,,,,,,,,
# PCR Stage/Step Number: Stage 2 Step 2,,,,,,,,,,,,,,,,,,,,
# Quantification Cycle Method: CT,,,,,,,,,,,,,,,,,,,,
# Analysis Date/Time:,,,,,,,,,,,,,,,,,,,,
# Software Name and Version:,,,,,,,,,,,,,,,,,,,,
# Plugin Name and Version:,,,,,,,,,,,,,,,,,,,,
# Exported On:,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,Curve Quality,Result Quality Issues,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End
105,E9,FALSE,BWR-0001,GRB_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.329996169,,,28.98704122,0.841705062,29.09240274,0.092227293,FALSE,0.2,TRUE,3,23
106,E10,FALSE,BWR-0001,GRB_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.300701371,,,29.15850313,0.812593788,29.09240274,0.092227293,FALSE,0.2,TRUE,3,22
108,E12,FALSE,BWR-0001,GRB_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.303897446,,,29.13166386,0.826023425,29.09240274,0.092227293,FALSE,0.2,TRUE,3,23
154,G10,FALSE,BWR-0002,GRB_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.306791796,,,30.0837325,0.815379547,30.09839456,0.01976957,FALSE,0.2,TRUE,3,24
155,G11,FALSE,BWR-0002,GRB_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.302428425,,,30.12087828,0.833267201,30.09839456,0.01976957,FALSE,0.2,TRUE,3,24
156,G12,FALSE,BWR-0002,GRB_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.303089862,,,30.09057291,0.862876983,30.09839456,0.01976957,FALSE,0.2,TRUE,3,24
201,I9,FALSE,BWR-0003,GRB_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.3098298,,,28.99808054,0.887536797,28.86515983,0.184851104,FALSE,0.2,TRUE,3,21
203,I11,FALSE,BWR-0003,GRB_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.302783036,,,28.65406548,0.778554082,28.86515983,0.184851104,FALSE,0.2,TRUE,3,22
204,I12,FALSE,BWR-0003,GRB_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.31363159,,,28.94333349,0.833951339,28.86515983,0.184851104,FALSE,0.2,TRUE,3,24
249,K9,FALSE,BWR-0004,GRB_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.309610473,,,31.09128664,0.883402297,31.24354486,0.17571286,FALSE,0.2,TRUE,3,25
