# File Name:RSS_QS6_METHYLATION_001_010125_AB_PEG.eds,,,,,,,,,,,,,,,,,,,,
# Comment: ,,,,,,,,,,,,,,,,,,,,
# Operator: Admin,,,,,,,,,,,,,,,,,,,,
# Barcode: ,,,,,,,,,,,,,,,,,,,,
# Instrument Type:,,,,,,,,,,,,,,,,,,,,
# Block Type: 384-Well Block,,,,,,,,,,,,,,,,,,,,
# Instrument Name:,,,,,,,,,,,,,,,,,,,,
# Instrument Serial Number:,,,,,,,,,,,,,,,,,,,,
# Heated Cover Serial Number:,,,,,,,,,,,,,,,,,,,,
# Block Serial Number:,,,,,,,,,,,,,,,,,,,,
# Run Start Date/Time:,,,,,,,,,,,,,,,,,,,,
# Run End Date/Time:,,,,,,,,,,,,,,,,,,,,
# Run Duration:,,,,,,,,,,,,,,,,,,,,
# Sample Volume: 10.0,,,,,,,,,,,,,,,,,,,,
# Cover Temperature: 105.0,,,,,,,,,,,,,,,,,,,,
# Passive Reference: ROX,,,,,,,,,,,,,,,,,,,,
# PCR Stage/Step Number: Stage 2 Step 2,,,,,,,,,,,,,,,,,,,,
# Quantification Cycle Method: CT,,,,,,,,,,,,,,,,,,,,
# Analysis Date/Time:,,,,,,,,,,,,,,,,,,,,
# Software Name and Version:,,,,,,,,,,,,,,,,,,,,
# Plugin Name and Version:,,,,,,,,,,,,,,,,,,,,
# Exported On:,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,Curve Quality,Result Quality Issues,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End
129,F9,FALSE,BWR-0001,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.395954764,,,25.98865138,0.79547045,26.06636579,0.146952086,FALSE,0.2,TRUE,3,19
130,F10,FALSE,BWR-0001,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.386897465,,,25.97458889,0.741390381,26.06636579,0.146952086,FALSE,0.2,TRUE,3,20
131,F11,FALSE,BWR-0001,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.386056336,,,26.23585709,0.794803519,26.06636579,0.146952086,FALSE,0.2,TRUE,3,19
178,H10,FALSE,BWR-0002,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.38927758,,,27.05277236,0.818785746,27.09137104,0.067728331,FALSE,0.2,TRUE,3,22
179,H11,FALSE,BWR-0002,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.386104617,,,27.05176593,0.824121022,27.09137104,0.067728331,FALSE,0.2,TRUE,3,22
180,H12,FALSE,BWR-0002,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.384343485,,,27.16957482,0.824986452,27.09137104,0.067728331,FALSE,0.2,TRUE,3,23
226,J10,FALSE,BWR-0003,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.379747644,,,26.17891993,0.800785432,26.24015785,0.057637284,FALSE,0.2,TRUE,3,19
227,J11,FALSE,BWR-0003,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.377074904,,,26.2933488,0.803029682,26.24015785,0.057637284,FALSE,0.2,TRUE,3,20
228,J12,FALSE,BWR-0003,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.379630055,,,26.24820484,0.805204437,26.24015785,0.057637284,FALSE,0.2,TRUE,3,21
273,L9,FALSE,BWR-0004,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.381968639,,,28.42251598,0.86308233,28.47275724,0.045137901,FALSE,0.2,TRUE,3,23
274,L10,FALSE,BWR-0004,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.369976236,,,28.48586573,0.844663935,28.47275724,0.045137901,FALSE,0.2,TRUE,3,23
275,L11,FALSE,BWR-0004,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.370273449,,,28.50989002,0.86047703,28.47275724,0.045137901,FALSE,0.2,TRUE,3,23
133,F13,FALSE,Control A,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.385053577,,,27.96066013,0.849839657,28.0104503,0.066603827,FALSE,0.2,TRUE,3,23
135,F15,FALSE,Control A,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.384629553,,,28.08610732,0.851289002,28.0104503,0.066603827,FALSE,0.2,TRUE,3,24
136,F16,FALSE,Control A,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.386371537,,,27.98458345,0.845791874,28.0104503,0.066603827,FALSE,0.2,TRUE,3,23
182,H14,FALSE,Control B,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.401818583,,,27.59437037,0.81117622,27.7954846,0.175689798,FALSE,0.2,TRUE,3,22
183,H15,FALSE,Control B,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.355850749,,,27.87298299,0.842169819,27.7954846,0.175689798,FALSE,0.2,TRUE,3,21
184,H16,FALSE,Control B,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.377809774,,,27.91910043,0.842964423,27.7954846,0.175689798,FALSE,0.2,TRUE,3,22
229,J13,FALSE,Control C,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.388038174,,,28.12794318,0.86353472,28.15866401,0.070404593,FALSE,0.2,TRUE,3,24
230,J14,FALSE,Control C,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.382382158,,,28.23920863,0.814930882,28.15866401,0.070404593,FALSE,0.2,TRUE,3,23
231,J15,FALSE,Control C,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.389579631,,,28.10884023,0.843337997,28.15866401,0.070404593,FALSE,0.2,TRUE,3,22
277,L13,FALSE,Control D,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.384045493,,,28.18511375,0.852218309,28.24636671,0.098989737,FALSE,0.2,TRUE,3,23
278,L14,FALSE,Control D,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.388100567,,,28.19341675,0.814377397,28.24636671,0.098989737,FALSE,0.2,TRUE,3,23
280,L16,FALSE,Control D,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.380247508,,,28.36056965,0.899874888,28.24636671,0.098989737,FALSE,0.2,TRUE,3,23
325,N13,FALSE,Control E,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.375541199,,,27.74495437,0.837963314,27.74902763,0.024853564,FALSE,0.2,TRUE,3,23
326,N14,FALSE,Control E,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.385883235,,,27.72646231,0.847566115,27.74902763,0.024853564,FALSE,0.2,TRUE,3,23
328,N16,FALSE,Control E,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.395010568,,,27.77566622,0.839551292,27.74902763,0.024853564,FALSE,0.2,TRUE,3,22
374,P14,FALSE,Control F,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.390456586,,,26.99608429,0.826143088,27.06051235,0.101970167,FALSE,0.2,TRUE,3,21
375,P15,FALSE,Control F,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.393227235,,,27.00737603,0.839792636,27.06051235,0.101970167,FALSE,0.2,TRUE,3,22
376,P16,FALSE,Control F,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.375650617,,,27.17807674,0.835798231,27.06051235,0.101970167,FALSE,0.2,TRUE,3,23
33,B9,FALSE,Control G,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.390684405,,,27.10213157,0.831006221,26.9357373,0.144410642,FALSE,0.2,TRUE,3,22
34,B10,FALSE,Control G,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.392452936,,,26.84309854,0.790985278,26.9357373,0.144410642,FALSE,0.2,TRUE,3,20
35,B11,FALSE,Control G,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.391641547,,,26.8619818,0.801723495,26.9357373,0.144410642,FALSE,0.2,TRUE,3,22
81,D9,FALSE,Control H,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.387718428,,,26.41889773,0.815619379,26.40891292,0.108054776,FALSE,0.2,TRUE,3,21
82,D10,FALSE,Control H,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.38986525,,,26.29621229,0.812040482,26.40891292,0.108054776,FALSE,0.2,TRUE,3,20
83,D11,FALSE,Control H,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.379084804,,,26.51162874,0.809867624,26.40891292,0.108054776,FALSE,0.2,TRUE,3,21
86,D14,FALSE,HCT116,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.424522727,,,27.33828425,0.878094289,27.42646276,0.078936445,FALSE,0.2,TRUE,3,22
87,D15,FALSE,HCT116,PEG1_M,UNKNOWN,FAM,NFQ-MGB,Inconclusive,1.41100753,,,27.45056762,0.891266294,27.42646276,0.078936445,FALSE,0.2,TRUE,3,21
